T,T1,code,name,boards_T,theme,fb,amount_yi,yizi,open_pct_T1,touched,sealed,zhaban,cont,dead_h,down_h
2025-10-14,2025-10-15,600078,澄星股份,4,固态电池,0,0.73,True,9.07,True,False,True,False,4,4
2025-10-29,2025-10-30,000592,平潭发展,5,福建,0,1.29,True,0.33,True,False,True,False,7,5
2025-11-10,2025-11-11,600939,重庆建工,3,重庆市,0,4.5,False,2.97,True,False,True,False,9,3
2025-11-25,2025-11-26,001296,长江材料,3,3D打印,0,2.58,False,-4.3,True,False,True,False,7,3
2025-12-16,2025-12-17,000890,法尔胜,4,通信,0,1.58,True,-9.56,True,False,True,False,6,4
2025-12-16,2025-12-17,001208,华菱线缆,4,商业航天,5,14.05,False,0.15,True,False,True,False,6,4
2025-12-19,2025-12-22,002188,中天服务,3,地产链,4,3.02,False,10.04,True,False,True,False,6,3
2025-12-24,2025-12-25,603696,安记食品,3,海峡两岸,8,6.1,False,8.04,True,False,True,False,5,3
2026-01-15,2026-01-16,002218,拓日新能,2,商业航天,1,3.44,False,10.0,True,False,True,False,5,2
2026-01-26,2026-01-27,000603,盛达资源,2,黄金,9,8.08,False,0.37,True,False,True,False,18,2
2026-01-26,2026-01-27,002506,协鑫集成,2,光伏,1,13.58,False,-2.03,True,False,True,False,18,2
2026-01-26,2026-01-27,002623,亚玛顿,2,光伏,1,9.87,False,-7.64,True,False,True,False,18,2
2026-01-30,2026-02-02,600084,中信尼雅,2,酿酒,0,1.45,False,-4.95,True,False,True,False,8,2
2026-02-12,2026-02-13,600589,大位科技,4,算力,11,3.45,True,10.03,True,False,True,False,4,4
2026-02-24,2026-02-25,605033,美邦股份,4,农业,0,0.94,True,9.99,True,False,True,False,5,4
2026-03-11,2026-03-12,603803,瑞斯康达,2,通信,3,5.49,False,-3.22,True,False,True,False,5,2
2026-03-31,2026-04-01,000008,神州高铁,2,轨道交通,4,5.24,False,10.09,True,False,True,False,5,2
2026-04-20,2026-04-21,600156,华升股份,3,算力,4,3.57,False,10.01,True,False,True,False,7,3
2026-04-21,2026-04-22,600961,株冶集团,4,一季报增长,1,3.17,True,3.89,True,False,True,False,6,4
2026-04-22,2026-04-23,003018,金富科技,4,算力,4,10.36,False,5.36,True,False,True,False,4,4
2026-04-29,2026-04-30,001266,宏英智能,2,一季报增长,34,1.19,True,6.07,True,False,True,False,5,2
2026-04-29,2026-04-30,600156,华升股份,2,算力,4,3.52,False,5.82,True,False,True,False,5,2
2026-05-06,2026-05-07,600379,宝光股份,4,芯片,17,4.92,False,10.02,True,False,True,False,4,4
2026-05-06,2026-05-07,603399,永杉锂业,4,锂电池,3,1.63,True,9.47,True,False,True,False,4,4
2026-05-14,2026-05-15,002208,合肥城建,3,芯片,10,18.88,False,-0.96,True,False,True,False,6,3
2026-05-18,2026-05-19,600578,京能电力,4,电力,4,18.38,False,0.0,True,False,True,False,6,4
2026-05-20,2026-05-21,605288,凯迪股份,2,机器人概念,4,4.81,False,-4.0,True,False,True,False,4,2
2026-05-22,2026-05-25,002442,龙星科技,3,化工,4,7.17,False,5.92,True,False,True,False,4,3
2026-05-26,2026-05-27,002185,华天科技,2,芯片,2,112.43,False,5.79,True,False,True,False,4,2
2026-06-01,2026-06-02,002081,金螳螂,2,地产链,2,41.36,False,3.31,True,False,True,False,5,2
2026-06-03,2026-06-04,600121,郑州煤电,3,煤炭,0,15.42,False,0.0,True,False,True,False,3,3
2026-06-09,2026-06-10,001696,宗申动力,2,低空经济,1,11.9,False,2.65,True,False,True,False,6,2
2026-06-09,2026-06-10,603186,华正新材,2,通信,27,28.11,False,1.92,True,False,True,False,6,2
2026-06-09,2026-06-10,603929,亚翔集成,2,芯片,26,6.72,False,-0.39,True,False,True,False,6,2
2026-06-24,2026-06-25,603407,长裕集团,4,非金属材料,1,7.52,False,4.66,True,False,True,False,5,4
2026-06-29,2026-06-30,603155,新亚强,2,芯片,22,8.93,False,-4.56,True,False,True,False,6,2
2026-06-30,2026-07-01,603950,长源东谷,2,发电机,0,3.94,False,4.8,True,False,True,False,3,2
2026-07-01,2026-07-02,002167,东方锆业,2,非金属材料,0,39.66,False,-3.17,True,False,True,False,3,2
2026-07-08,2026-07-09,001229,魅视科技,2,物理AI,0,0.48,True,9.81,True,False,True,False,5,2
2026-07-09,2026-07-10,603928,兴业股份,2,芯片,34,11.72,False,-3.56,True,False,True,False,3,2
2026-07-10,2026-07-13,000892,欢瑞世纪,2,AI应用,4,5.75,False,5.0,True,False,True,False,3,2
2026-07-10,2026-07-13,002829,星网宇达,2,中报增长,9,2.8,False,4.51,True,False,True,False,3,2
2026-07-29,2026-07-30,000428,华天酒店,3,旅游,0,1.75,False,9.9,True,False,True,False,4,3
